,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,padang,83,ID,1608481781,68,-0.95,100.35,78.15,3.74
1,mount isa,75,AU,1608481781,100,-20.73,139.5,75.2,4.7
2,jamestown,90,US,1608481641,98,42.1,-79.24,35.01,9.17
3,faanui,75,PF,1608481781,70,-16.48,-151.75,80.17,5.61
4,demyansk,99,RU,1608481782,94,57.64,32.47,35.06,6.46
5,ushuaia,40,AR,1608481782,42,-54.8,-68.3,62.6,18.34
6,new norfolk,59,AU,1608481782,67,-42.78,147.06,51.01,1.36
7,bethel,90,US,1608481782,68,41.37,-73.41,30.99,5.01
8,plettenberg bay,3,ZA,1608481782,78,-34.05,23.37,71.06,16.35
9,rikitea,6,PF,1608481782,78,-23.12,-134.97,76.68,22.32
10,isangel,5,VU,1608481782,83,-19.55,169.27,75.07,7.72
11,port alfred,62,ZA,1608481783,89,-33.59,26.89,73.0,5.01
12,jesup,75,US,1608481783,87,31.61,-81.89,55.99,4.36
13,saint-philippe,43,RE,1608481783,78,-21.36,55.77,78.8,16.11
14,aldan,100,RU,1608481783,93,58.6,125.39,2.53,11.25
15,arraial do cabo,0,BR,1608481783,62,-22.97,-42.03,93.2,11.41
16,iqaluit,75,CA,1608481783,65,63.75,-68.51,3.2,4.7
17,port moresby,20,PG,1608481784,94,-9.44,147.18,75.2,8.05
18,nanortalik,100,GL,1608481784,88,60.14,-45.24,25.52,6.29
19,cidreira,99,BR,1608481784,53,-30.18,-50.21,79.23,11.25
20,butaritari,56,KI,1608481784,84,3.07,172.79,80.58,18.39
21,dudinka,90,RU,1608481784,73,69.41,86.18,-31.0,6.71
22,lahat,100,ID,1608481784,89,-3.8,103.53,72.43,2.48
23,tuy hoa,100,VN,1608481766,88,13.08,109.3,70.39,19.55
24,college,90,US,1608481785,70,64.86,-147.8,-2.2,2.42
25,georgetown,20,MY,1608481785,88,5.41,100.34,80.01,3.36
26,hilo,1,US,1608481785,88,19.73,-155.09,69.8,1.41
27,gilbues,98,BR,1608481785,43,-9.83,-45.34,89.78,6.06
28,punta arenas,0,CL,1608481785,58,-53.15,-70.92,59.0,34.45
29,collie,0,AU,1608481785,77,-33.37,116.15,55.0,1.99
30,jumla,0,NP,1608481786,43,29.27,82.18,41.74,4.41
31,dikson,6,RU,1608481786,82,73.51,80.55,-28.68,7.02
32,bluff,85,NZ,1608481786,92,-46.6,168.33,46.0,1.01
33,saldanha,1,ZA,1608481786,35,-33.01,17.94,86.0,14.99
34,mesquite,0,US,1608481786,75,32.77,-96.6,53.01,1.01
35,hermanus,1,ZA,1608481786,61,-34.42,19.23,78.01,8.99
36,araouane,0,ML,1608481786,18,18.9,-3.53,76.75,12.75
37,arlit,0,NE,1608481786,13,18.74,7.39,86.83,5.99
